Shape,Flour Type,Weight,Function Type,Ingredients,Icing Type,Filling,Dietary Preference,Color Theme,Toppings,Cake Layers,Texture,Sweetness Level,Decorations,Serving Size,Price Range,Allergens,Shelf Life
Dome,Gluten-Free,1kg,Engagement,"Chocolate, Nuts, Fruits, Caramel",Ganache,Caramel,Eggless,Silver,"Nuts, Sprinkles, Marshmallows",Single,Dense,Low,"Chocolate Shavings, Edible Glitter, Gold Leaf",Party Size,Premium,"Nuts, Gluten",3 Days
Hexagon,Marble,2.5kg,Graduation,"Ganache, Mousse, Chocolate, Fruits, Fondant",Cream Cheese Frosting,Raspberry Mousse,Low-Carb,Silver,Edible Flowers,Double,Soft,Medium,Piping Art,Party Size,Luxury,"Gluten, Nuts",1 Week
Heart,Coconut,2.5kg,Wedding,"Cream Cheese, Fondant, Mousse, Chocolate, Fruits",Cream Cheese Frosting,Chocolate,Low-Carb,Dark,"Marshmallows, Chocolate Chips",Multi-Tier,Moist,High,"Gold Leaf, Fondant Figures",Small,Luxury,Dairy,1 Week
Rectangle,Coconut,Custom,Corporate,"Nuts, Fondant, Fruits, Cream Cheese, Mousse",Royal Icing,Strawberry Jam,Eggless,Dark,"Edible Flowers, Chocolate Chips",Multi-Tier,Fluffy,High,Gold Leaf,Party Size,Premium,Nuts,1 Week
Tiered,Red Velvet,Custom,Wedding,"Cream Cheese, Mousse, Nuts",Cream Cheese Frosting,Caramel,Eggless,Pastel,Chocolate Chips,Single,Crispy,Low,"Edible Glitter, Gold Leaf",Large,Premium,Dairy,Custom
Oval,Chocolate,0.5kg,Festival,"Fruits, Chocolate",Buttercream,Fruit Compote,Vegan,Rainbow,"Chocolate Chips, Sprinkles",Single,Soft,High,"Candied Fruits, Chocolate Shavings",Large,Standard,"Gluten, Nuts",3 Days
Rectangle,Vanilla,Custom,Engagement,"Caramel, Fruits, Ganache, Chocolate",Fondant,Strawberry Jam,Keto-Friendly,Gold,"Caramel Drizzle, Sprinkles, Fruits",Double,Soft,Extra Sweet,"Edible Glitter, Piping Art",Medium,Premium,"Gluten, Soy",3 Days
Square,Vanilla,2kg,Birthday,"Mousse, Ganache, Fondant, Nuts, Fruits",Whipped Cream,Vanilla Custard,Eggless,Bright,"Edible Flowers, Fruits, Caramel Drizzle",Single,Moist,High,"Edible Glitter, Candied Fruits, Chocolate Shavings",Small,Premium,Soy,1 Week
Star,Chocolate,1.5kg,Anniversary,"Fondant, Cream Cheese, Fruits, Caramel, Nuts",Fondant,Nutella,Vegan,Monochrome,Edible Flowers,Multi-Tier,Moist,Medium,"Gold Leaf, Edible Glitter, Candied Fruits",Medium,Budget,"Nuts, Dairy",Custom
Oval,Pistachio,0.5kg,Birthday,"Caramel, Chocolate, Ganache, Buttercream",Fondant,Caramel,Keto-Friendly,Bright,"Nuts, Edible Flowers",Multi-Tier,Fluffy,High,Fondant Figures,Medium,Premium,None,1 Day
Square,Gluten-Free,5kg,Festival,"Nuts, Ganache, Chocolate, Fondant",Fondant,Nutella,Regular,Monochrome,"Nuts, Sprinkles",Single,Fluffy,Medium,"Chocolate Shavings, Gold Leaf, Piping Art",Medium,Standard,Dairy,3 Days
Star,Pistachio,2.5kg,Wedding,"Nuts, Chocolate, Fondant",Fondant,Nutella,Keto-Friendly,Dark,"Chocolate Chips, Sprinkles",Double,Fluffy,Low,"Fondant Figures, Chocolate Shavings, Candied Fruits",Medium,Premium,Soy,1 Day
Tiered,Chocolate,Custom,Baby Shower,"Buttercream, Fondant, Mousse",Royal Icing,Chocolate,Sugar-Free,Monochrome,"Edible Flowers, Caramel Drizzle",Multi-Tier,Dense,Medium,Fondant Figures,Party Size,Premium,None,1 Day
Hexagon,Coconut,1.5kg,Corporate,"Fruits, Cream Cheese, Ganache, Buttercream, Caramel",Ganache,Caramel,Regular,Bright,"Fruits, Sprinkles",Multi-Tier,Dense,Low,"Edible Glitter, Gold Leaf, Candied Fruits",Large,Standard,"None, Nuts",1 Day
Round,Vanilla,Custom,Festival,"Buttercream, Chocolate",Whipped Cream,Raspberry Mousse,Low-Carb,Bright,"Caramel Drizzle, Fruits, Marshmallows",Single,Soft,Extra Sweet,"Chocolate Shavings, Piping Art, Fondant Figures",Medium,Premium,Nuts,1 Day
Tiered,Chocolate,1kg,Baby Shower,"Nuts, Mousse",Ganache,Chocolate,Sugar-Free,Monochrome,"Marshmallows, Caramel Drizzle, Edible Flowers",Single,Fluffy,Medium,"Piping Art, Chocolate Shavings",Medium,Premium,"Soy, None",1 Day
Square,Carrot,4kg,Graduation,"Fruits, Chocolate, Cream Cheese",Whipped Cream,Fruit Compote,Vegan,Rainbow,"Edible Flowers, Caramel Drizzle",Double,Soft,Medium,"Candied Fruits, Piping Art, Chocolate Shavings",Large,Budget,None,3 Days
Hexagon,Carrot,1kg,Festival,"Nuts, Ganache, Buttercream",Royal Icing,Chocolate,Keto-Friendly,Rainbow,"Caramel Drizzle, Nuts, Fruits",Multi-Tier,Dense,Extra Sweet,"Edible Glitter, Candied Fruits",Large,Standard,Dairy,Custom
Dome,Pistachio,0.5kg,Corporate,"Buttercream, Nuts, Fruits, Mousse, Ganache",Fondant,Raspberry Mousse,Gluten-Free,Dark,"Edible Flowers, Sprinkles",Double,Soft,Extra Sweet,Fondant Figures,Large,Luxury,Soy,1 Day
Round,Marble,4kg,Corporate,"Fondant, Chocolate, Buttercream, Mousse",Cream Cheese Frosting,Fruit Compote,Gluten-Free,Gold,Chocolate Chips,Single,Crispy,Low,Piping Art,Party Size,Budget,"Soy, Gluten",1 Day
Round,Marble,5kg,Baby Shower,"Ganache, Cream Cheese",Ganache,Strawberry Jam,Keto-Friendly,Gold,Chocolate Chips,Single,Soft,Low,"Chocolate Shavings, Edible Glitter",Medium,Premium,None,Custom
Rectangle,Vanilla,0.5kg,Engagement,"Buttercream, Fruits, Chocolate",Whipped Cream,Vanilla Custard,Eggless,Pastel,Sprinkles,Double,Dense,Low,"Edible Glitter, Candied Fruits",Medium,Luxury,"None, Nuts",1 Week
Hexagon,Carrot,2kg,Festival,"Mousse, Cream Cheese",Whipped Cream,Nutella,Regular,Dark,Sprinkles,Multi-Tier,Dense,High,Fondant Figures,Small,Standard,Gluten,1 Day
Square,Coconut,2.5kg,Baby Shower,"Chocolate, Nuts",Royal Icing,Chocolate,Sugar-Free,Bright,"Sprinkles, Edible Flowers, Nuts",Multi-Tier,Fluffy,Medium,Gold Leaf,Party Size,Standard,"None, Gluten",1 Week
Round,Red Velvet,0.5kg,Engagement,"Nuts, Caramel, Mousse, Buttercream",Royal Icing,Strawberry Jam,Gluten-Free,Dark,"Sprinkles, Chocolate Chips, Edible Flowers",Single,Dense,Extra Sweet,Piping Art,Large,Standard,Soy,1 Week
Dome,Almond,3kg,Birthday,"Ganache, Caramel, Nuts, Mousse, Cream Cheese",Cream Cheese Frosting,Nutella,Gluten-Free,Pastel,"Caramel Drizzle, Sprinkles",Single,Fluffy,Medium,"Fondant Figures, Chocolate Shavings",Party Size,Luxury,"Nuts, Gluten",Custom
Square,Marble,Custom,Birthday,"Buttercream, Caramel",Ganache,Caramel,Sugar-Free,Silver,"Fruits, Nuts",Double,Fluffy,Medium,Chocolate Shavings,Party Size,Budget,Gluten,1 Week
Heart,Red Velvet,1kg,Anniversary,"Mousse, Fondant, Caramel",Ganache,Nutella,Keto-Friendly,Rainbow,Marshmallows,Single,Dense,Extra Sweet,"Piping Art, Chocolate Shavings, Gold Leaf",Party Size,Luxury,Dairy,Custom
Dome,Almond,Custom,Birthday,"Cream Cheese, Buttercream",Ganache,Vanilla Custard,Regular,Bright,"Nuts, Edible Flowers, Fruits",Single,Crispy,Low,Chocolate Shavings,Party Size,Premium,"Nuts, None",3 Days
Oval,Carrot,5kg,Graduation,"Mousse, Fruits, Chocolate, Buttercream, Caramel",Buttercream,Chocolate,Eggless,Rainbow,"Sprinkles, Marshmallows",Double,Soft,High,"Chocolate Shavings, Fondant Figures, Edible Glitter",Party Size,Budget,Nuts,1 Day
Rectangle,Gluten-Free,5kg,Birthday,"Chocolate, Caramel, Nuts, Ganache, Fruits",Whipped Cream,Caramel,Vegan,Dark,"Fruits, Edible Flowers, Sprinkles",Single,Crispy,High,"Chocolate Shavings, Edible Glitter",Medium,Luxury,Dairy,3 Days
Tiered,Red Velvet,1kg,Festival,"Caramel, Chocolate",Royal Icing,Nutella,Sugar-Free,Monochrome,"Caramel Drizzle, Sprinkles",Single,Fluffy,Extra Sweet,"Gold Leaf, Fondant Figures",Small,Standard,"Soy, None",3 Days
Oval,Carrot,5kg,Festival,"Mousse, Buttercream, Ganache, Nuts",Cream Cheese Frosting,Vanilla Custard,Keto-Friendly,Bright,"Chocolate Chips, Caramel Drizzle, Nuts",Single,Crispy,High,Fondant Figures,Party Size,Luxury,Dairy,3 Days
Hexagon,Marble,5kg,Birthday,"Chocolate, Fondant",Buttercream,Strawberry Jam,Vegan,Dark,"Fruits, Edible Flowers, Marshmallows",Double,Fluffy,High,"Gold Leaf, Chocolate Shavings, Piping Art",Small,Premium,Nuts,1 Week
Star,Vanilla,0.5kg,Baby Shower,"Nuts, Caramel, Mousse, Chocolate",Cream Cheese Frosting,Strawberry Jam,Eggless,Silver,"Chocolate Chips, Fruits, Nuts",Multi-Tier,Moist,Low,"Candied Fruits, Gold Leaf",Small,Luxury,Gluten,1 Week
Hexagon,Chocolate,1.5kg,Wedding,"Chocolate, Mousse, Cream Cheese, Fruits, Caramel",Ganache,Caramel,Sugar-Free,Dark,"Nuts, Chocolate Chips, Caramel Drizzle",Double,Soft,Low,"Candied Fruits, Chocolate Shavings",Large,Luxury,Gluten,1 Day
Star,Vanilla,3kg,Festival,"Nuts, Mousse",Buttercream,Raspberry Mousse,Vegan,Gold,Caramel Drizzle,Single,Crispy,Extra Sweet,"Piping Art, Edible Glitter",Party Size,Luxury,"Soy, Dairy",Custom
Rectangle,Almond,5kg,Engagement,"Buttercream, Mousse, Fondant, Cream Cheese, Ganache",Fondant,Strawberry Jam,Eggless,Monochrome,Nuts,Single,Moist,Extra Sweet,Edible Glitter,Medium,Standard,Nuts,Custom
Star,Gluten-Free,2kg,Baby Shower,"Fruits, Caramel, Nuts, Chocolate",Whipped Cream,Chocolate,Vegan,Monochrome,"Fruits, Sprinkles, Marshmallows",Multi-Tier,Soft,Medium,"Candied Fruits, Gold Leaf",Party Size,Budget,Dairy,3 Days
Hexagon,Red Velvet,3kg,Engagement,"Fruits, Mousse, Chocolate",Whipped Cream,Fruit Compote,Eggless,Monochrome,"Edible Flowers, Chocolate Chips",Multi-Tier,Moist,Low,"Piping Art, Fondant Figures",Party Size,Premium,Gluten,1 Day
Hexagon,Pistachio,3kg,Anniversary,"Chocolate, Ganache, Nuts",Whipped Cream,Chocolate,Regular,Pastel,"Sprinkles, Marshmallows",Multi-Tier,Soft,Low,Candied Fruits,Party Size,Standard,None,1 Week
Oval,Almond,Custom,Anniversary,"Buttercream, Nuts, Cream Cheese, Mousse",Ganache,Nutella,Low-Carb,Rainbow,Sprinkles,Multi-Tier,Fluffy,Medium,"Piping Art, Chocolate Shavings, Edible Glitter",Medium,Luxury,Nuts,3 Days
Hexagon,Marble,3kg,Corporate,"Nuts, Buttercream, Caramel, Cream Cheese",Buttercream,Strawberry Jam,Low-Carb,Pastel,"Fruits, Edible Flowers, Sprinkles",Double,Fluffy,Low,Candied Fruits,Medium,Budget,"None, Soy",Custom
Star,Red Velvet,5kg,Corporate,"Fondant, Chocolate",Fondant,Vanilla Custard,Vegan,Gold,Marshmallows,Single,Fluffy,Medium,"Gold Leaf, Piping Art, Candied Fruits",Party Size,Budget,Nuts,3 Days
Round,Marble,1kg,Birthday,"Ganache, Buttercream, Caramel, Cream Cheese, Nuts",Ganache,Vanilla Custard,Gluten-Free,Bright,"Marshmallows, Edible Flowers, Sprinkles",Double,Soft,Low,"Chocolate Shavings, Piping Art",Party Size,Luxury,"Soy, Gluten",3 Days
Dome,Vanilla,2kg,Anniversary,"Ganache, Mousse",Fondant,Strawberry Jam,Gluten-Free,Pastel,Nuts,Multi-Tier,Crispy,Low,"Piping Art, Candied Fruits, Edible Glitter",Party Size,Budget,"Nuts, None",1 Day
Star,Carrot,Custom,Graduation,"Ganache, Fondant, Chocolate",Buttercream,Vanilla Custard,Low-Carb,Monochrome,Fruits,Single,Soft,Low,"Chocolate Shavings, Piping Art",Medium,Budget,Soy,1 Day
Heart,Vanilla,Custom,Festival,"Cream Cheese, Buttercream, Mousse, Fruits, Fondant",Whipped Cream,Chocolate,Sugar-Free,Silver,"Edible Flowers, Fruits, Nuts",Multi-Tier,Dense,High,"Piping Art, Fondant Figures, Candied Fruits",Medium,Luxury,"None, Nuts",1 Day
Hexagon,Almond,3kg,Anniversary,"Ganache, Chocolate",Whipped Cream,Chocolate,Eggless,Monochrome,"Sprinkles, Nuts, Edible Flowers",Double,Moist,High,"Chocolate Shavings, Candied Fruits",Large,Premium,None,Custom
Star,Almond,0.5kg,Wedding,"Buttercream, Cream Cheese",Whipped Cream,Vanilla Custard,Keto-Friendly,Bright,"Edible Flowers, Chocolate Chips",Multi-Tier,Crispy,Extra Sweet,"Piping Art, Chocolate Shavings",Party Size,Luxury,Gluten,1 Week
Oval,Carrot,2kg,Wedding,"Mousse, Ganache",Fondant,Chocolate,Low-Carb,Rainbow,Sprinkles,Single,Dense,Extra Sweet,"Gold Leaf, Candied Fruits, Chocolate Shavings",Large,Luxury,Gluten,1 Week
Dome,Vanilla,1.5kg,Graduation,"Chocolate, Fruits, Buttercream, Caramel, Mousse",Ganache,Raspberry Mousse,Vegan,Bright,"Marshmallows, Nuts",Double,Soft,High,"Fondant Figures, Candied Fruits",Small,Luxury,"None, Nuts",1 Day
Tiered,Red Velvet,Custom,Corporate,"Cream Cheese, Mousse, Ganache",Cream Cheese Frosting,Caramel,Eggless,Gold,"Edible Flowers, Caramel Drizzle",Double,Fluffy,Extra Sweet,Chocolate Shavings,Party Size,Budget,Nuts,1 Day
Rectangle,Coconut,4kg,Festival,"Fruits, Chocolate",Cream Cheese Frosting,Nutella,Vegan,Monochrome,"Chocolate Chips, Sprinkles",Double,Soft,Extra Sweet,Chocolate Shavings,Medium,Premium,Gluten,1 Week
Square,Marble,4kg,Graduation,"Nuts, Chocolate",Buttercream,Raspberry Mousse,Vegan,Monochrome,Edible Flowers,Double,Fluffy,Extra Sweet,Chocolate Shavings,Small,Standard,"Nuts, Dairy",Custom
Hexagon,Red Velvet,1.5kg,Festival,"Fondant, Fruits, Caramel, Mousse",Royal Icing,Caramel,Keto-Friendly,Silver,Caramel Drizzle,Double,Dense,Extra Sweet,"Piping Art, Candied Fruits",Medium,Standard,Nuts,Custom
Round,Almond,1kg,Corporate,"Buttercream, Chocolate, Mousse, Ganache, Caramel",Cream Cheese Frosting,Fruit Compote,Eggless,Gold,"Marshmallows, Fruits, Chocolate Chips",Double,Crispy,Extra Sweet,"Fondant Figures, Candied Fruits",Party Size,Budget,Gluten,1 Week
Star,Carrot,1.5kg,Baby Shower,"Chocolate, Fruits, Mousse, Caramel",Royal Icing,Caramel,Vegan,Pastel,"Nuts, Chocolate Chips, Marshmallows",Double,Fluffy,High,"Gold Leaf, Edible Glitter",Medium,Premium,"Gluten, Nuts",Custom
Square,Red Velvet,2.5kg,Anniversary,"Mousse, Fondant",Whipped Cream,Strawberry Jam,Regular,Pastel,Sprinkles,Double,Soft,Medium,"Fondant Figures, Piping Art",Party Size,Budget,"Nuts, Gluten",Custom
Heart,Gluten-Free,2.5kg,Corporate,"Cream Cheese, Caramel, Buttercream",Fondant,Vanilla Custard,Gluten-Free,Silver,"Sprinkles, Edible Flowers, Chocolate Chips",Single,Fluffy,Low,"Chocolate Shavings, Edible Glitter, Candied Fruits",Medium,Budget,Nuts,3 Days
Hexagon,Pistachio,2kg,Festival,"Fondant, Buttercream, Ganache, Nuts, Chocolate",Whipped Cream,Strawberry Jam,Sugar-Free,Rainbow,"Sprinkles, Nuts",Double,Soft,Medium,"Fondant Figures, Edible Glitter, Gold Leaf",Large,Luxury,Dairy,3 Days
Dome,Coconut,Custom,Engagement,"Chocolate, Fruits",Ganache,Vanilla Custard,Vegan,Rainbow,"Marshmallows, Fruits, Nuts",Double,Soft,Low,"Fondant Figures, Piping Art, Chocolate Shavings",Small,Budget,"Dairy, Nuts",Custom
Oval,Pistachio,Custom,Baby Shower,"Caramel, Cream Cheese, Ganache, Buttercream, Fruits",Buttercream,Chocolate,Vegan,Bright,"Caramel Drizzle, Nuts",Multi-Tier,Dense,Medium,"Candied Fruits, Chocolate Shavings",Medium,Standard,"Nuts, Soy",1 Day
Heart,Almond,1kg,Corporate,"Cream Cheese, Fondant, Caramel, Ganache, Buttercream",Whipped Cream,Fruit Compote,Sugar-Free,Dark,"Nuts, Sprinkles, Caramel Drizzle",Single,Fluffy,Low,Edible Glitter,Medium,Budget,"None, Nuts",3 Days
Round,Coconut,0.5kg,Corporate,"Nuts, Ganache, Fruits",Whipped Cream,Caramel,Sugar-Free,Pastel,"Edible Flowers, Nuts, Chocolate Chips",Single,Fluffy,High,"Fondant Figures, Edible Glitter, Gold Leaf",Party Size,Standard,Dairy,1 Day
Dome,Vanilla,2.5kg,Graduation,"Mousse, Caramel, Fondant, Fruits, Chocolate",Royal Icing,Vanilla Custard,Low-Carb,Rainbow,"Fruits, Nuts, Chocolate Chips",Multi-Tier,Moist,Medium,"Piping Art, Candied Fruits, Fondant Figures",Small,Premium,"Gluten, Dairy",1 Week
Dome,Marble,3kg,Baby Shower,"Fondant, Caramel, Cream Cheese, Buttercream, Chocolate",Buttercream,Strawberry Jam,Low-Carb,Dark,"Chocolate Chips, Fruits",Single,Moist,Medium,"Gold Leaf, Candied Fruits, Piping Art",Party Size,Budget,Gluten,Custom
Square,Coconut,1.5kg,Anniversary,"Cream Cheese, Mousse, Fruits, Nuts, Chocolate",Cream Cheese Frosting,Nutella,Low-Carb,Monochrome,Sprinkles,Double,Crispy,High,"Fondant Figures, Gold Leaf",Party Size,Standard,Gluten,Custom
Hexagon,Vanilla,3kg,Anniversary,"Cream Cheese, Buttercream",Whipped Cream,Fruit Compote,Sugar-Free,Dark,Edible Flowers,Double,Moist,Low,Fondant Figures,Party Size,Standard,Nuts,1 Day
Round,Carrot,0.5kg,Engagement,"Nuts, Mousse, Caramel, Fondant, Chocolate",Whipped Cream,Chocolate,Regular,Pastel,"Nuts, Chocolate Chips",Double,Fluffy,Medium,"Fondant Figures, Candied Fruits, Piping Art",Party Size,Budget,"None, Gluten",1 Week
Hexagon,Gluten-Free,0.5kg,Corporate,"Fruits, Chocolate, Ganache",Royal Icing,Caramel,Low-Carb,Gold,"Fruits, Chocolate Chips, Caramel Drizzle",Double,Soft,Extra Sweet,"Edible Glitter, Gold Leaf",Small,Premium,Nuts,1 Day
Star,Gluten-Free,0.5kg,Engagement,"Fondant, Mousse, Cream Cheese, Fruits",Royal Icing,Chocolate,Low-Carb,Bright,"Sprinkles, Nuts",Single,Moist,Low,"Chocolate Shavings, Gold Leaf, Fondant Figures",Small,Budget,"Nuts, Soy",1 Week
Oval,Almond,3kg,Anniversary,"Fondant, Caramel, Fruits, Mousse, Nuts",Royal Icing,Caramel,Vegan,Bright,"Edible Flowers, Caramel Drizzle",Single,Fluffy,Low,"Candied Fruits, Fondant Figures",Medium,Standard,None,3 Days
Heart,Red Velvet,2.5kg,Anniversary,"Buttercream, Fondant",Fondant,Caramel,Low-Carb,Monochrome,Caramel Drizzle,Multi-Tier,Crispy,Medium,"Piping Art, Gold Leaf, Edible Glitter",Large,Premium,"None, Nuts",Custom
Hexagon,Chocolate,5kg,Birthday,"Mousse, Cream Cheese",Whipped Cream,Fruit Compote,Gluten-Free,Pastel,"Nuts, Sprinkles",Multi-Tier,Dense,Medium,Gold Leaf,Medium,Budget,Soy,Custom
Oval,Coconut,2.5kg,Engagement,"Nuts, Fondant, Ganache, Fruits",Royal Icing,Chocolate,Sugar-Free,Rainbow,Edible Flowers,Single,Fluffy,Low,"Chocolate Shavings, Gold Leaf, Piping Art",Party Size,Budget,"None, Dairy",Custom
Oval,Gluten-Free,5kg,Wedding,"Cream Cheese, Fruits, Caramel, Fondant, Mousse",Whipped Cream,Raspberry Mousse,Keto-Friendly,Gold,"Fruits, Sprinkles, Edible Flowers",Single,Dense,Extra Sweet,"Candied Fruits, Piping Art, Chocolate Shavings",Small,Luxury,Dairy,Custom
Rectangle,Gluten-Free,2kg,Engagement,"Caramel, Fondant, Chocolate",Ganache,Vanilla Custard,Low-Carb,Monochrome,"Marshmallows, Nuts, Caramel Drizzle",Multi-Tier,Crispy,Extra Sweet,"Candied Fruits, Gold Leaf",Medium,Budget,Soy,1 Day
Tiered,Marble,2.5kg,Birthday,"Fruits, Buttercream, Ganache, Cream Cheese, Nuts",Royal Icing,Strawberry Jam,Gluten-Free,Dark,"Caramel Drizzle, Fruits",Double,Moist,Medium,Chocolate Shavings,Medium,Premium,"Dairy, Nuts",1 Week
Star,Gluten-Free,3kg,Corporate,"Fruits, Fondant, Mousse",Buttercream,Raspberry Mousse,Gluten-Free,Monochrome,"Marshmallows, Nuts, Fruits",Double,Dense,Extra Sweet,"Gold Leaf, Fondant Figures",Medium,Budget,"Gluten, Dairy",Custom
Square,Almond,Custom,Baby Shower,"Mousse, Fondant",Whipped Cream,Fruit Compote,Low-Carb,Monochrome,"Marshmallows, Edible Flowers",Single,Fluffy,Medium,Piping Art,Small,Budget,Gluten,3 Days
Heart,Gluten-Free,0.5kg,Graduation,"Fruits, Chocolate, Ganache, Mousse, Nuts",Fondant,Chocolate,Eggless,Silver,"Marshmallows, Nuts, Sprinkles",Single,Dense,Low,"Fondant Figures, Gold Leaf, Candied Fruits",Small,Luxury,"Dairy, Nuts",1 Week
Dome,Red Velvet,2.5kg,Engagement,"Mousse, Ganache, Nuts, Cream Cheese",Ganache,Fruit Compote,Regular,Monochrome,"Nuts, Chocolate Chips",Double,Soft,Extra Sweet,"Chocolate Shavings, Candied Fruits",Small,Premium,Dairy,Custom
Hexagon,Gluten-Free,1.5kg,Corporate,"Buttercream, Chocolate",Cream Cheese Frosting,Raspberry Mousse,Keto-Friendly,Rainbow,"Caramel Drizzle, Fruits, Nuts",Double,Dense,Medium,"Piping Art, Chocolate Shavings",Small,Premium,"Dairy, Soy",Custom
Rectangle,Pistachio,2kg,Wedding,"Chocolate, Mousse, Ganache",Royal Icing,Strawberry Jam,Gluten-Free,Gold,"Marshmallows, Fruits",Multi-Tier,Crispy,High,"Chocolate Shavings, Piping Art, Candied Fruits",Medium,Budget,Gluten,1 Day
Round,Coconut,0.5kg,Corporate,"Nuts, Fondant",Cream Cheese Frosting,Vanilla Custard,Eggless,Dark,Edible Flowers,Multi-Tier,Dense,Low,"Candied Fruits, Chocolate Shavings, Piping Art",Small,Budget,Soy,Custom
Oval,Red Velvet,Custom,Engagement,"Ganache, Buttercream, Fondant",Buttercream,Strawberry Jam,Gluten-Free,Bright,"Chocolate Chips, Edible Flowers",Single,Soft,Extra Sweet,"Chocolate Shavings, Piping Art, Candied Fruits",Party Size,Premium,"Nuts, Soy",3 Days
Heart,Coconut,4kg,Festival,"Fruits, Mousse",Cream Cheese Frosting,Vanilla Custard,Eggless,Dark,"Chocolate Chips, Marshmallows",Multi-Tier,Fluffy,Extra Sweet,"Chocolate Shavings, Gold Leaf, Candied Fruits",Large,Luxury,None,1 Day
Rectangle,Vanilla,2kg,Festival,"Nuts, Ganache, Caramel, Cream Cheese, Fruits",Fondant,Raspberry Mousse,Low-Carb,Pastel,"Marshmallows, Sprinkles",Multi-Tier,Crispy,Low,Gold Leaf,Party Size,Luxury,"Dairy, Soy",Custom
Star,Red Velvet,2.5kg,Festival,"Caramel, Fruits, Chocolate, Nuts, Ganache",Ganache,Strawberry Jam,Vegan,Bright,"Fruits, Sprinkles",Single,Fluffy,Low,"Fondant Figures, Piping Art, Gold Leaf",Large,Premium,Dairy,Custom
Square,Carrot,3kg,Engagement,"Cream Cheese, Caramel",Fondant,Raspberry Mousse,Eggless,Gold,Chocolate Chips,Single,Dense,Medium,Fondant Figures,Medium,Standard,"Soy, Dairy",3 Days
Square,Vanilla,1.5kg,Wedding,"Fruits, Fondant, Buttercream, Nuts, Caramel",Fondant,Nutella,Vegan,Gold,"Edible Flowers, Sprinkles",Multi-Tier,Moist,Medium,"Candied Fruits, Fondant Figures, Piping Art",Large,Luxury,Soy,Custom
Square,Carrot,1kg,Corporate,"Fruits, Nuts",Whipped Cream,Chocolate,Gluten-Free,Silver,"Marshmallows, Fruits",Single,Fluffy,High,"Chocolate Shavings, Piping Art",Party Size,Luxury,Nuts,Custom
Round,Almond,0.5kg,Corporate,"Caramel, Cream Cheese, Fondant, Nuts",Royal Icing,Strawberry Jam,Keto-Friendly,Rainbow,"Edible Flowers, Fruits, Caramel Drizzle",Double,Crispy,Medium,"Gold Leaf, Chocolate Shavings",Large,Budget,"None, Gluten",1 Week
